Nro_Expediente,Fuero,Juzgado_Radicacion,Tipo_Proceso,Fecha_Inicio,Estado_Causa,Dias_Activo
31734/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2025-06-30,Archivado,141
88291/24,Penal (Colegio de Jueces),Sala I,Amparo,2025-10-10,En Trámite,339
79088/24,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2026-05-22,Suspendido,115
32577/23,Familia,2° Juzgado de Familia,Hurto,2025-10-06,Suspendido,343
33128/26,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2024-11-10,Archivado,293
50292/23,Familia,1° Juzgado de Familia,Homicidio,2024-10-19,Archivado,172
10864/26,Familia,1° Juzgado de Familia,Homicidio,2025-09-17,Archivado,127
63829/24,Familia,2° Juzgado de Familia,Amparo,2024-11-18,Para Sentencia,665
71512/26,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2026-05-09,Resuelto,150
34822/26,Familia,1° Juzgado de Familia,Hurto,2025-03-23,Suspendido,540
7703/26,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2025-07-01,Suspendido,440
47944/25,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2024-06-28,Archivado,365
37757/23,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2025-11-16,En Trámite,302
89216/24,Penal (Colegio de Jueces),Sala II,Hurto,2025-01-09,Archivado,249
93018/25,Familia,2° Juzgado de Familia,Hurto,2024-05-10,En Trámite,856
17109/26,Familia,2° Juzgado de Familia,Hurto,2024-05-01,Resuelto,273
54894/26,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2026-08-02,Para Sentencia,43
24124/24,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2025-05-06,Archivado,174
44002/23,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2024-01-22,Archivado,385
66121/25,Penal (Colegio de Jueces),Sala I,Divorcio,2025-06-25,En Trámite,446
31552/25,Penal (Colegio de Jueces),Sala I,Hurto,2026-03-26,Resuelto,98
37690/24,Familia,2° Juzgado de Familia,Despido,2024-11-28,En Trámite,655
10634/25,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2024-08-12,Para Sentencia,763
93774/26,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2024-09-01,Para Sentencia,743
29157/25,Familia,1° Juzgado de Familia,Despido,2025-11-29,En Trámite,289
2336/23,Familia,2° Juzgado de Familia,Hurto,2026-05-02,Resuelto,399
85740/26,Laboral,1° Juzgado Laboral,Hurto,2025-09-19,En Trámite,360
41085/26,Familia,1° Juzgado de Familia,Amparo,2023-10-02,Para Sentencia,1078
17735/23,Laboral,2° Juzgado Laboral,Hurto,2023-12-04,Resuelto,355
6316/25,Laboral,2° Juzgado Laboral,Divorcio,2023-12-22,Suspendido,997
14076/25,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2025-03-26,Resuelto,181
29942/26,"Civil, Comercial y Minería",2° Juzgado Civil,Amparo,2023-12-29,En Trámite,990
64544/26,Laboral,3° Juzgado Laboral,Amparo,2025-06-04,Suspendido,467
61817/23,Familia,1° Juzgado de Familia,Amparo,2026-03-18,Archivado,301
77979/25,Penal (Colegio de Jueces),Sala II,Despido,2024-05-23,Para Sentencia,844
14368/23,Familia,1° Juzgado de Familia,Homicidio,2025-04-29,Resuelto,144
